100	100
88	70	69	17	42	47	63	6	49	25	91	20	74	93	76	25	14	69	40	68	28	99	87	19	33	93	90	71	96	13	15	22	95	70	89	3	96	86	77	59	35	93	23	46	62	1	43	39	2	82	95	100	26	26	84	81	82	99	45	71	2	11	7	72	36	17	50	77	62	17	55	80	68	24	48	31	21	27	54	91	67	8	50	43	24	100	89	43	34	99	49	16	43	24	66	56	34	6	49	63	5286
61	22	17	46	100	76	11	67	49	89	61	57	93	50	60	46	38	50	61	86	98	65	94	12	99	34	8	87	7	19	44	30	56	19	96	60	73	95	22	30	47	94	92	73	3	93	41	71	47	54	23	46	93	60	7	61	60	91	24	33	35	2	17	84	55	33	37	80	97	67	68	27	1	12	35	97	20	46	93	99	52	42	15	6	16	62	72	11	13	80	28	86	72	28	19	52	53	10	31	71	4975
4	70	47	33	51	33	46	32	92	92	35	86	13	88	95	40	70	20	86	74	78	98	75	63	13	22	75	14	81	31	38	8	5	65	69	15	9	100	8	17	75	77	6	82	27	82	37	15	85	32	47	41	36	8	59	86	85	41	55	10	35	82	75	7	9	69	80	64	56	56	90	67	6	13	31	13	61	100	16	48	14	53	73	16	32	67	79	62	99	3	23	65	5	17	84	12	47	41	57	4	5878
25	55	85	57	44	46	57	29	60	83	14	11	34	39	61	35	72	1	76	44	14	40	89	48	84	95	11	49	93	30	14	93	80	8	60	49	85	21	15	50	99	86	52	95	79	14	71	94	94	32	84	65	80	41	79	55	20	6	41	32	39	42	61	87	33	64	93	19	38	34	34	37	79	75	97	61	82	47	45	43	88	31	90	32	29	65	31	41	57	92	55	31	33	58	29	17	4	23	85	61	5244
23	27	27	41	6	19	50	66	26	9	69	57	100	17	23	20	91	25	98	91	99	76	6	50	64	6	83	90	36	52	87	36	91	13	3	5	14	24	92	50	96	49	57	90	34	54	75	23	94	64	36	11	52	94	32	10	3	16	43	26	50	9	71	13	2	35	94	23	9	40	92	97	85	100	49	73	87	1	68	81	81	65	9	30	46	13	8	84	5	11	33	23	44	34	72	32	93	66	69	93	5551
38	87	2	42	43	61	70	30	18	71	34	44	36	41	3	96	31	69	84	68	26	88	58	75	63	79	83	82	33	27	23	35	39	82	92	8	18	2	97	55	26	61	20	33	49	23	10	53	64	63	73	45	7	35	73	18	66	40	81	10	33	39	87	57	71	33	29	82	65	66	48	8	98	78	86	72	33	43	78	85	56	23	70	47	76	3	29	37	41	81	11	91	19	80	64	59	5	78	70	48	5334
21	90	83	35	9	59	41	23	91	26	97	25	65	51	1	62	6	3	85	74	33	16	33	5	88	63	23	27	50	69	37	29	10	32	16	61	63	93	95	21	25	34	40	87	34	58	64	7	27	25	9	37	55	44	46	16	33	47	23	53	29	13	30	13	24	2	72	44	35	16	76	21	41	17	53	86	91	9	20	60	20	77	83	53	28	20	40	25	31	54	96	22	4	39	46	66	15	89	33	13	4990
14	66	59	10	40	100	34	100	68	47	83	15	81	48	45	81	62	53	3	71	86	62	4	33	21	42	85	51	100	13	65	62	3	63	92	72	75	86	87	47	36	42	39	55	49	11	60	21	43	84	75	17	30	1	89	17	68	90	21	47	91	24	1	16	27	76	85	6	39	33	19	30	50	74	51	2	30	56	43	10	57	90	76	96	52	48	36	26	36	49	19	10	67	73	50	20	99	57	43	43	4784
99	54	3	78	69	86	81	84	5	77	70	5	50	14	19	41	71	70	1	37	9	34	78	11	37	16	50	94	91	23	52	82	27	40	52	52	69	50	34	24	86	93	42	87	95	28	18	81	41	99	84	2	46	39	80	23	8	47	18	27	77	66	96	52	40	44	30	83	11	87	64	82	100	52	53	73	24	96	77	13	73	67	31	53	26	82	65	73	34	70	63	90	97	35	65	76	23	76	25	22	4993
81	35	13	12	25	82	83	47	89	55	7	62	65	83	51	42	85	52	98	99	76	71	25	67	45	55	59	17	21	67	14	43	41	14	88	16	51	75	79	12	70	45	88	76	71	47	95	81	18	50	98	30	84	16	14	60	3	57	59	38	71	84	54	100	27	8	48	52	82	14	1	30	13	73	31	44	36	33	24	5	37	30	34	74	28	89	64	97	26	14	40	68	67	19	79	95	46	8	7	86	4997
